id,name,body,background,category,category2,type,thc
270,Citrus Rush,Yellow,Blue / Green,-,Food / Fruits,Hybrid,26
271,Purple Pineapple Bomb,Grey / Purple,Green,Purple,Food / Fruits,Mostly Indica,21
272,Emerald Haze,Green,Green,Haze,Gemstones,Mostly Sativa,20
273,Banana Glue,Yellow,Purple,Glue,Food / Fruits,Mostly Indica,21
274,Drippy Eye, Multi-Color,Purple,-,Trippy,Mostly Sativa,26
276,Gorilla Zkittlez, Multi-Color,Blue,Zkittlez,Food / Sweets / Animals,Mostly Indica,21
278,Plutonium,Green,Black,-,Neon,Hybrid,27
279,Strawberry Glue,Red,Green,Glue,Food / Fruits,Mostly Indica,26
282,Agent Banana,Yellow,Purple / Pink,-,Food / Fruits,Hybrid,21
285,Blue Pill,Blue,Blue,-,OTHER,Mostly Indica,28
286,Acid IV, Multi-Color,Black,-,Trippy,Hybrid,22
287,Rainbow Kiss, Multi-Color,Purple,-,Rainbows,Hybrid,26
288,24K Banana,Gold,Black,Gold,Food / Fruits / Gold,Mostly Sativa,22
289,Molotov OG,Green,Green,OG,OTHER,Hybrid,22
290,Rainbow Road, Multi-Color,Multi-Color,-,Trippy / Rainbows,Hybrid,21
292,Strawberry Syrup,Red,Purple,-,Food / Fruits / Sweets,Hybrid,22
293,Cats in Space,Green,Black,-,Animals / Space,Hybrid,25
294,Watermelon Gelato,Red / Brown,Green,Gelato,Food / Fruits / Sweets / Ice Cream,Mostly Indica,26
295,Ice Age,Blue,Blue,-,OTHER,Mostly Indica,27
297,Alaskan Thunder F*ck,Grey,Blue,-,OTHER,Mostly Sativa,20
298,AK-47,Grey / Brown,Purple,-,OTHER,Hybrid,21
299,Biscotti,Green,Green,-,Food / Sweets,Mostly Indica,25
301,NYC Sour Diesel,Grey,Green,Diesel,Food / Fruits,Hybrid,22
302,Black Hole,Green,Multi-Color,-,Space,Hybrid,26
303,Rainbow Banana, Multi-Color,Purple / Pink,-,Food / Fruits / Rainbows,Mostly Sativa,26
304,Alien Orange Gum,Orange,Black,-,Food / Fruits / weets / Aliens / Space,Mostly Indica,16
305,Chernobyl,Grey,Black,-,Neon,Mostly Sativa,18
306,Purple Haze,Purple,Black,Purple / Haze,Legendary,Mostly Sativa,17
307,Wedding Cake,Green,Pink / Orange,-,Food / Sweets,Hybrid,22
308,Fruity Pebbles OG, Multi-Color,Blue,OG,Food / Sweets,Mostly Indica,18
310,Face Off OG,White,Blue / Green,OG,Spooky,Mostly Indica,19
311,Skunk N°1,Green,Purple,Skunk,Legendary / Animals,Mostly Sativa,16
313,Lost Pearl,Green,Green / Yellow,-,Gemstones,Mostly Indica,21
314,Apple Fritter,Brown,Orange,-,Food / Fruits / Sweets,Hybrid,25
315,Super Glue,Green,Pink,Glue,OTHER,Mostly Indica,20
316,Papaya,Orange,Pink / Orange,-,Food / Fruits,Hybrid,26
317,Sapphire OG,Blue,Green,OG,Gemstones,Hybrid,25
